num_elements,total_sum,time_ms
100000,100000,0.050223429999999999
200000,200000,0.10765628999999999
300000,300000,0.16665270000000001
400000,400000,0.20618398000000002
500000,500000,0.31196286000000001
600000,600000,0.35308113000000002
700000,700000,0.42192898000000001
800000,800000,0.48496211
900000,900000,0.56469910000000001
1000000,1000000,0.65645573000000002
1100000,1100000,0.68081994999999995
1200000,1200000,0.73980405000000005
1300000,1300000,0.82260353000000008
1400000,1400000,0.85107611999999999
1500000,1500000,0.93447561000000001
1600000,1600000,0.98944331000000008
1700000,1700000,1.06552147
1800000,1800000,1.2147302200000001
1900000,1900000,1.1851786100000001
2000000,2000000,1.2935023000000001
2100000,2100000,1.3106398700000002
2200000,2200000,1.3645243200000001
2300000,2300000,1.5675478899999999
2400000,2400000,1.4652520200000001
2500000,2500000,1.5738861200000001
2600000,2600000,2.0466339599999999
2700000,2700000,1.65094469
2800000,2800000,1.83508038
2900000,2900000,1.9376595700000001
3000000,3000000,1.8431211699999999
3100000,3100000,2.0415221100000003
3200000,3200000,2.0189250800000003
3300000,3300000,2.0910341100000003
3400000,3400000,2.1123401299999998
3500000,3500000,2.1579810199999998
3600000,3600000,2.26027881
3700000,3700000,2.27803792
3800000,3800000,2.35961577
3900000,3900000,2.3940614900000003
4000000,4000000,2.6291916800000004
4100000,4100000,2.5192655400000001
4200000,4200000,2.60002361
4300000,4300000,2.6160073599999998
4400000,4400000,2.79904902
4500000,4500000,2.7839434999999999
4600000,4600000,2.96207778
4700000,4700000,3.1596746499999999
4800000,4800000,2.98387753
4900000,4900000,3.0311176200000003
5000000,5000000,3.0857941699999998
5100000,5100000,3.5763882599999999
5200000,5200000,3.2175211400000001
5300000,5300000,3.5983128999999998
5400000,5400000,3.3427381199999999
5500000,5500000,3.3758017900000001
5600000,5600000,3.4747150200000001
5700000,5700000,3.5201775099999999
5800000,5800000,3.58461863
5900000,5900000,3.8228494700000004
6000000,6000000,3.7632642400000003
6100000,6100000,3.8501035899999998
6200000,6200000,3.93671112
6300000,6300000,4.0768000799999999
6400000,6400000,4.4621183099999993
6500000,6500000,4.3922849299999998
6600000,6600000,4.5032661100000002
6700000,6700000,4.5902291100000001
6800000,6800000,4.9345528300000003
6900000,6900000,4.6906012699999993
7000000,7000000,4.6526380199999995
7100000,7100000,4.5028082500000002
7200000,7200000,4.5813912699999992
7300000,7300000,4.5146790800000005
7400000,7400000,4.6471828400000001
7500000,7500000,4.6060622499999999
7600000,7600000,4.6634218799999996
7700000,7700000,4.8598666399999999
7800000,7800000,4.8772352100000003
7900000,7900000,4.8298332999999998
8000000,8000000,5.0331080799999999
8100000,8100000,5.1124906599999997
8200000,8200000,5.0034911200000005
8300000,8300000,5.1601515099999995
8400000,8400000,5.2779230699999999
8500000,8500000,5.1825578499999994
8600000,8600000,5.3740086700000003
8700000,8700000,5.5953467400000001
8800000,8800000,5.6251345400000003
8900000,8900000,5.5493009999999998
9000000,9000000,5.6771560800000005
9100000,9100000,5.5641115700000006
9200000,9200000,5.8942694000000007
9300000,9300000,6.0221786100000001
9400000,9400000,5.8619942800000002
9500000,9500000,6.0364198899999995
9600000,9600000,5.9179612400000003
9700000,9700000,6.0254252199999998
9800000,9800000,6.3842519699999993
9900000,9900000,6.1879525199999996
10000000,10000000,6.17322872
